village,mf,degree_leader,eigenvector_centrality_leader,betweenness_centrality_leader,closeness_centrality_leader,numHH,fractionLeaders,fractionTakingLeaders_leaders,eigenvector_centrality_taking_leader
1,0.21428571428571402,21.11111111111111,0.08871768562241801,0.027602441268237,0.44004406359441706,182,0.15384615384615302,0.321428571428571,0.07789574416817201
2,0.138728323699421,15.727272727272727,0.07826009782094401,0.028492525779672002,0.344599653981835,195,0.112820512820512,0.27272727272727204,0.028613878036964004
3,0.14007782101167301,16.636363636363637,0.06405608294897701,0.012971461987813002,0.37137285071164,292,0.11986301369863,0.057142857142857,0.047899511192772005
4,0.06787330316742,16.625,0.066196612614733,0.025121986405469,0.373068507216655,239,0.07531380753138,0.11111111111111101,0.107538275950898
6,0.239130434782608,13.6,0.121903048365899,0.032262117533934,0.40457142367328,114,0.19298245614035,0.13636363636363602,0.133711453385054
9,0.16853932584269601,24.058823529411764,0.09710546553018101,0.030220992343147002,0.44296173856734805,207,0.14009661835748702,0.241379310344827,0.09395386760820301
12,0.33108108108108103,15.529411764705882,0.09385010314388001,0.022738232052159003,0.40402486586441305,175,0.154285714285714,0.185185185185185,0.12173229244656901
15,0.132867132867132,15.368421052631579,0.08333476754207701,0.014928352413855001,0.43661922169621303,171,0.16374269005847902,0.035714285714285005,0.08424552561357801
19,0.20903954802259803,20.363636363636363,0.08208860008068,0.031716021367692006,0.42186003335501104,204,0.13235294117647,0.185185185185185,0.08820432959181301
20,0.39726027397260205,17.0,0.122777475067551,0.040684681073121,0.38143774596706403,156,0.064102564102564,0.5,0.11881488544443201
21,0.4375,20.384615384615383,0.08030650919956901,0.025013418031280002,0.42494751942215203,202,0.12871287128712802,0.538461538461538,0.06352036796863
23,0.163716814159292,19.214285714285715,0.065967350616048,0.022719945958586,0.38268456138454604,254,0.11023622047244001,0.17857142857142802,0.053848637032753006
24,0.16666666666666602,18.785714285714285,0.09264870623643201,0.022946205127138002,0.441810853255138,163,0.116564417177914,0.31578947368421,0.111027643699888
25,0.147186147186147,19.416666666666668,0.076124323729157,0.023274221370936002,0.396111743307877,252,0.08333333333333301,0.33333333333333304,0.046282144206039
29,0.257575757575757,17.923076923076923,0.080878086960152,0.019761052233436,0.36502281799182,290,0.089655172413793,0.34615384615384603,0.07562421291866901
31,0.341269841269841,14.181818181818182,0.069606374193086,0.034123000937191006,0.368772726308128,153,0.17647058823529402,0.40740740740740705,0.070142442207728
32,0.172897196261682,17.555555555555557,0.06958802959225101,0.012637751405516,0.403940617996278,241,0.112033195020746,0.22222222222222202,0.08110107395447501
33,0.183246073298429,12.125,0.053489485401154,0.016230236342186,0.36225484933156504,204,0.06372549019607801,0.15384615384615302,0.015367836099494001
36,0.07228915662650601,24.11111111111111,0.055719814453446,0.024401202551303004,0.39620841680462704,289,0.13840830449826902,0.125,0.028164495543152004
39,0.17372881355932202,15.461538461538462,0.05516555476430401,0.016038941941797002,0.36338403801385405,287,0.177700348432055,0.25490196078431304,0.071753445445112
42,0.310734463276836,11.88888888888889,0.083393745502967,0.015960931917125002,0.33286019437428804,192,0.078125,0.4,0.07051880445603101
43,0.220338983050847,16.818181818181817,0.067837839004659,0.032120699704616,0.395977963670925,198,0.10606060606060601,0.42857142857142805,0.05617690316704001
45,0.18461538461538402,13.454545454545455,0.052239350004825005,0.019079725591464,0.36061827685247605,221,0.11764705882352901,0.34615384615384603,0.037265734069207
46,0.19148936170212702,16.46153846153846,0.073311019812882,0.021139813300447,0.358798672661134,262,0.103053435114503,0.555555555555555,0.08206614284333201
47,0.23387096774193503,17.8,0.06639512682643,0.027547311075596003,0.43516389124652405,139,0.107913669064748,0.133333333333333,0.03365951408808
48,0.17532467532467502,16.25,0.07097030661725201,0.017667015615773,0.410271523561751,182,0.15384615384615302,0.25,0.08211397186235701
50,0.08071748878923701,21.6,0.061076004352876,0.016872613084570002,0.385974621907669,244,0.08606557377049101,0.23809523809523803,0.015526132887227002
51,0.119469026548672,24.785714285714285,0.067059736580819,0.013438900979036002,0.41669239940288405,251,0.099601593625498,0.08,0.030599554907020002
52,0.10616438356164301,28.05263157894737,0.06566603413843801,0.020307212709042,0.414318828636484,327,0.10703363914373001,0.08571428571428501,0.04611045511894701
55,0.089201877934272,13.714285714285714,0.046525146204942004,0.028649341223803002,0.33284437205356804,257,0.17120622568093302,0.204545454545454,0.101937073730385
57,0.13586956521739102,18.0,0.08335292207156601,0.019673333743019,0.401377758335668,208,0.115384615384615,0.25,0.08600213274148401
59,0.07394366197183,15.538461538461538,0.057602833158727,0.011735343075414,0.339091382603803,329,0.136778115501519,0.133333333333333,0.047735902451120006
60,0.14953271028037302,16.75,0.042698233844461,0.021356542653665003,0.353812240236887,356,0.09831460674157301,0.114285714285714,0.024874156197450002
62,0.160714285714285,14.727272727272727,0.06663781724244601,0.020698641534397003,0.39572131037330205,190,0.11578947368421001,0.27272727272727204,0.05512884553588301
64,0.0929203539823,14.31578947368421,0.062366713983884006,0.023099838437611,0.363632309680372,257,0.12062256809338501,0.19354838709677402,0.098377884598162
65,0.1640625,22.363636363636363,0.052427477086225006,0.016925365838328002,0.407581283225382,297,0.138047138047138,0.195121951219512,0.03474911555722
67,0.29411764705882304,19.272727272727273,0.07768345616797401,0.025969631495569002,0.415810982047891,193,0.11917098445595802,0.30434782608695604,0.080275028809489
68,0.135338345864661,16.5,0.07703567498600701,0.017819982436724002,0.42463392884239004,153,0.13071895424836602,0.2,0.059909001424609004
70,0.18032786885245902,27.5,0.08768900610893601,0.022939414467307,0.46261660490376105,205,0.10731707317073101,0.409090909090909,0.064265834307466
71,0.16666666666666602,17.95,0.05370460107945001,0.013066599844107001,0.356487641342185,298,0.15436241610738202,0.21739130434782603,0.036654377138606004
72,0.13541666666666602,18.75,0.06968514330660901,0.015758760998043003,0.40414352104668105,223,0.139013452914798,0.25806451612903203,0.08147243082918501
73,0.155844155844155,18.785714285714285,0.090688242042504,0.016117206907351002,0.43901704042767503,174,0.11494252873563202,0.30000000000000004,0.07537175498556001
75,0.23717948717948703,21.9,0.08194526077375601,0.023343813510111004,0.45134548204012603,172,0.093023255813953,0.1875,0.037990244462671005
