Week,St,Ct
1,0.1,0.1
2,3,3.1
3,5.2,8.3
4,7,15.3
5,5.25,20.55
6,4.9,25.45
7,3,28.45
8,2.4,30.85
9,1.9,32.75
10,1.3,34.05
11,0.8,34.85
12,0.6,35.45
